Flag,Country,Capital City,Population,Births,Deaths,GDP (billions of $)
<img alt="Flag of Albania" src="assets/images/flags/flag-of-Albania.png" width="150" height="100">,Albania,Tirana,2 845 955,28 561,21 937,15.418
<img alt="Flag of Austria" src="assets/images/flags/flag-of-Austria.png" width="150" height="100">,Austria,Vienna,8 901 064,84 952,83 386,447.718
<img alt="Flag of Belarus" src="assets/images/flags/flag-of-Belarus.png" width="150" height="100">,Belarus,Minsk,9 408 350,87 602,120 470,62.572
<img alt="Flag of Belgium" src="assets/images/flags/flag-of-Belgium.png" width="150" height="100">,Belgium,Brussels,11 549 888,116 128,108 783,517.609
<img alt="Flag of Bosnia-Herzegovina" src="assets/images/flags/flag-of-Bosnia-Herzegovina.png" width="150" height="100">,Bosnia-Herzegovina,Sarajevo,3 492 018,29 467,37 744,20.106
<img alt="Flag of Bulgaria" src="assets/images/flags/flag-of-Bulgaria.png" width="150" height="100">,Bulgaria,Sofia,6 951 482,61 538,108 083,66.25
<img alt="Flag of Croatia" src="assets/images/flags/flag-of-Croatia.png" width="150" height="100">,Croatia,Zagreb,4 058 165,36 135,51 794,60.702
<img alt="Flag of Cyprus" src="assets/images/flags/flag-of-Cyprus.png" width="150" height="100">,Cyprus,Nicosia,888 005,9 625,6 020,24.28
<img alt="Flag of Czech-Republic" src="assets/images/flags/flag-of-Czech-Republic.png" width="150" height="100">,Czech Republic,Prague,10 693 939,112 231,112 362,246.953
<img alt="Flag of Denmark" src="assets/images/flags/flag-of-Denmark.png" width="150" height="100">,Denmark,Copenhagen,5 822 763,61 167,53 958,347.176
<img alt="Flag of Estonia" src="assets/images/flags/flag-of-Estonia.png" width="150" height="100">,Estonia,Tallinn,1 328 976,14 099,15 401,31.038
<img alt="Flag of Finland" src="assets/images/flags/flag-of-Finland.png" width="150" height="100">,Finland,Helsinki,5 525 292,45 613,53 949,269.654
<img alt="Flag of France" src="assets/images/flags/flag-of-France.png" width="150" height="100">,France,Paris,67 098 824,753 578,612 127,2707.07
<img alt="Flag of Germany" src="assets/images/flags/flag-of-Germany.png" width="150" height="100">,Germany,Berlin,83 166 711,778 129,939 536,3863.34
